code,nav,percentage,time,createtime
160632,1.1577,-1.3053,2020-01-23 10:15:00,2020-02-01 20:28:09
160632,1.1574,-1.3328,2020-01-23 10:16:00,2020-02-01 20:28:09
160632,1.1577,-1.3053,2020-01-23 10:17:00,2020-02-01 20:28:09
160632,1.1577,-1.3053,2020-01-23 10:18:00,2020-02-01 20:28:09
160632,1.1576,-1.3145,2020-01-23 10:19:00,2020-02-01 20:28:09
160632,1.1574,-1.3328,2020-01-23 10:20:00,2020-02-01 20:28:09
160632,1.1559,-1.4615,2020-01-23 10:21:00,2020-02-01 20:28:09
160632,1.1557,-1.4707,2020-01-23 10:22:00,2020-02-01 20:28:09
160632,1.1562,-1.434,2020-01-23 10:23:00,2020-02-01 20:28:09
160632,1.1559,-1.4615,2020-01-23 10:24:00,2020-02-01 20:28:09
160632,1.1555,-1.4891,2020-01-23 10:25:00,2020-02-01 20:28:09
160632,1.1553,-1.5075,2020-01-23 10:26:00,2020-02-01 20:28:09
160632,1.1553,-1.5075,2020-01-23 10:27:00,2020-02-01 20:28:09
160632,1.1547,-1.5626,2020-01-23 10:28:00,2020-02-01 20:28:09
160632,1.1549,-1.5443,2020-01-23 10:29:00,2020-02-01 20:28:09
160632,1.1539,-1.627,2020-01-23 10:30:00,2020-02-01 20:28:09
160632,1.1538,-1.6362,2020-01-23 10:31:00,2020-02-01 20:28:09
160632,1.1534,-1.6729,2020-01-23 10:32:00,2020-02-01 20:28:09
160632,1.1535,-1.6638,2020-01-23 10:33:00,2020-02-01 20:28:09
160632,1.1536,-1.6546,2020-01-23 10:34:00,2020-02-01 20:28:09
160632,1.1536,-1.6546,2020-01-23 10:35:00,2020-02-01 20:28:09
160632,1.1532,-1.6913,2020-01-23 10:36:00,2020-02-01 20:28:09
160632,1.1525,-1.7465,2020-01-23 10:37:00,2020-02-01 20:28:09
160632,1.1524,-1.7557,2020-01-23 10:38:00,2020-02-01 20:28:09
160632,1.1521,-1.7832,2020-01-23 10:39:00,2020-02-01 20:28:09
160632,1.1522,-1.7741,2020-01-23 10:40:00,2020-02-01 20:28:09
160632,1.1511,-1.866,2020-01-23 10:41:00,2020-02-01 20:28:09
160632,1.1506,-1.9119,2020-01-23 10:42:00,2020-02-01 20:28:09
160632,1.1502,-1.9395,2020-01-23 10:43:00,2020-02-01 20:28:09
160632,1.15,-1.9579,2020-01-23 10:44:00,2020-02-01 20:28:09
160632,1.1496,-1.9947,2020-01-23 10:45:00,2020-02-01 20:28:09
160632,1.1491,-2.0406,2020-01-23 10:46:00,2020-02-01 20:28:09
160632,1.1488,-2.059,2020-01-23 10:47:00,2020-02-01 20:28:09
160632,1.1482,-2.1142,2020-01-23 10:48:00,2020-02-01 20:28:09
160632,1.1468,-2.2337,2020-01-23 10:49:00,2020-02-01 20:28:09
160632,1.1467,-2.2428,2020-01-23 10:50:00,2020-02-01 20:28:09
160632,1.1483,-2.105,2020-01-23 10:51:00,2020-02-01 20:28:09
160632,1.1495,-2.0039,2020-01-23 10:52:00,2020-02-01 20:28:09
160632,1.1479,-2.1417,2020-01-23 10:53:00,2020-02-01 20:28:09
160632,1.1495,-2.0039,2020-01-23 10:54:00,2020-02-01 20:28:09
